"date","home.team","home.score","away.team","away.score"
"2020-07-06","Sevilla",1,"Eibar",0
"2020-07-07","Valencia",2,"Valladolid",1
"2020-07-07","Celta",1,"Ath Madrid",1
"2020-07-08","Betis",3,"Osasuna",0
"2020-07-08","Getafe",1,"Villarreal",3
"2020-07-08","Barcelona",1,"Espanol",0
"2020-07-09","Eibar",0,"Leganes",0
"2020-07-09","Mallorca",2,"Levante",0
"2020-07-09","Ath Bilbao",1,"Sevilla",2
"2020-07-10","Sociedad",2,"Granada",3
"2020-07-10","Real Madrid",2,"Alaves",0
"2020-07-11","Osasuna",2,"Celta",1
"2020-07-11","Valladolid",0,"Barcelona",1
"2020-07-11","Ath Madrid",1,"Betis",0
"2020-07-12","Espanol",0,"Eibar",2
"2020-07-12","Levante",1,"Ath Bilbao",2
"2020-07-12","Leganes",1,"Valencia",0
"2020-07-12","Sevilla",2,"Mallorca",0
"2020-07-13","Alaves",0,"Getafe",0
"2020-07-13","Villarreal",1,"Sociedad",2
"2020-07-13","Granada",1,"Real Madrid",2
"2020-07-16","Eibar",3,"Valladolid",1
"2020-07-16","Ath Bilbao",0,"Leganes",2
"2020-07-16","Barcelona",1,"Osasuna",2
"2020-07-16","Betis",1,"Alaves",2
"2020-07-16","Celta",2,"Levante",3
"2020-07-16","Getafe",0,"Ath Madrid",2
"2020-07-16","Mallorca",1,"Granada",2
"2020-07-16","Real Madrid",2,"Villarreal",1
"2020-07-16","Sociedad",0,"Sevilla",0
"2020-07-16","Valencia",1,"Espanol",0
"2020-07-19","Alaves",0,"Barcelona",5
"2020-07-19","Valladolid",2,"Betis",0
"2020-07-19","Villarreal",4,"Eibar",0
"2020-07-19","Ath Madrid",1,"Sociedad",1
"2020-07-19","Espanol",0,"Celta",0
"2020-07-19","Granada",4,"Ath Bilbao",0
"2020-07-19","Leganes",2,"Real Madrid",2
"2020-07-19","Levante",1,"Getafe",0
"2020-07-19","Osasuna",2,"Mallorca",2
"2020-07-19","Sevilla",1,"Valencia",0
"2020-09-12","Eibar",0,"Celta",0
"2020-09-12","Granada",2,"Ath Bilbao",0
"2020-09-12","Cadiz",0,"Osasuna",2
"2020-09-13","Alaves",0,"Betis",1
"2020-09-13","Valladolid",1,"Sociedad",1
"2020-09-13","Villarreal",1,"Huesca",1
"2020-09-13","Valencia",4,"Levante",2
"2020-09-19","Villarreal",2,"Eibar",1
"2020-09-19","Getafe",1,"Osasuna",0
"2020-09-19","Celta",2,"Valencia",1
"2020-09-20","Huesca",0,"Cadiz",2
"2020-09-20","Betis",2,"Valladolid",0
"2020-09-20","Granada",2,"Alaves",1
"2020-09-20","Sociedad",0,"Real Madrid",0
"2020-09-26","Alaves",0,"Getafe",0
"2020-09-26","Valencia",1,"Huesca",1
"2020-09-26","Elche",0,"Sociedad",3
"2020-09-26","Betis",2,"Real Madrid",3
"2020-09-27","Osasuna",1,"Levante",3
"2020-09-27","Eibar",1,"Ath Bilbao",2
"2020-09-27","Ath Madrid",6,"Granada",1
"2020-09-27","Cadiz",1,"Sevilla",3
"2020-09-27","Valladolid",1,"Celta",1
"2020-09-27","Barcelona",4,"Villarreal",0
"2020-09-29","Sociedad",0,"Valencia",1
"2020-09-29","Getafe",3,"Betis",0
"2020-09-30","Huesca",0,"Ath Madrid",0
"2020-09-30","Villarreal",3,"Alaves",1
"2020-09-30","Eibar",0,"Elche",1
"2020-09-30","Real Madrid",1,"Valladolid",0
"2020-10-01","Ath Bilbao",0,"Cadiz",1
"2020-10-01","Sevilla",1,"Levante",0
"2020-10-01","Celta",0,"Barcelona",3
"2020-10-03","Valladolid",1,"Eibar",2
"2020-10-03","Ath Madrid",0,"Villarreal",0
"2020-10-03","Elche",0,"Huesca",0
"2020-10-03","Sociedad",3,"Getafe",0
"2020-10-03","Valencia",0,"Betis",2
"2020-10-04","Osasuna",2,"Celta",0
